"x","y","text","color"
"-0.8150576627478273","3.256385217274465","x: -0.82<br>y: 3.26<br>z: 2","2.0"
"-0.8150576627478273","3.6889717649841227","x: -0.82<br>y: 3.69<br>z: 2","2.0"
"-0.6668805569433834","2.3912121218551508","x: -0.67<br>y: 2.39<br>z: 2","2.0"
"-0.6668805569433834","2.8237986695648085","x: -0.67<br>y: 2.82<br>z: 1","1.0"
"-0.6668805569433834","3.256385217274465","x: -0.67<br>y: 3.26<br>z: 3","3.0"
"-0.6668805569433834","3.6889717649841227","x: -0.67<br>y: 3.69<br>z: 1","1.0"
"-0.5187034511389398","2.8237986695648085","x: -0.52<br>y: 2.82<br>z: 10","10.0"
"-0.5187034511389398","3.256385217274465","x: -0.52<br>y: 3.26<br>z: 4","4.0"
"-0.5187034511389398","3.6889717649841227","x: -0.52<br>y: 3.69<br>z: 4","4.0"
"-0.5187034511389398","4.5541448604034365","x: -0.52<br>y: 4.55<br>z: 1","1.0"
"-0.370526345334496","1.5260390264358363","x: -0.37<br>y: 1.53<br>z: 1","1.0"
"-0.370526345334496","1.9586255741454937","x: -0.37<br>y: 1.96<br>z: 1","1.0"
"-0.370526345334496","2.3912121218551508","x: -0.37<br>y: 2.39<br>z: 6","6.0"
"-0.370526345334496","2.8237986695648085","x: -0.37<br>y: 2.82<br>z: 13","13.0"
"-0.370526345334496","3.256385217274465","x: -0.37<br>y: 3.26<br>z: 8","8.0"
"-0.370526345334496","3.6889717649841227","x: -0.37<br>y: 3.69<br>z: 3","3.0"
"-0.370526345334496","4.12155831269378","x: -0.37<br>y: 4.12<br>z: 2","2.0"
"-0.22234923953005237","1.5260390264358363","x: -0.22<br>y: 1.53<br>z: 2","2.0"
"-0.22234923953005237","1.9586255741454937","x: -0.22<br>y: 1.96<br>z: 9","9.0"
"-0.22234923953005237","2.3912121218551508","x: -0.22<br>y: 2.39<br>z: 19","19.0"
"-0.22234923953005237","2.8237986695648085","x: -0.22<br>y: 2.82<br>z: 21","21.0"
"-0.22234923953005237","3.256385217274465","x: -0.22<br>y: 3.26<br>z: 16","16.0"
"-0.22234923953005237","3.6889717649841227","x: -0.22<br>y: 3.69<br>z: 6","6.0"
"-0.22234923953005237","4.12155831269378","x: -0.22<br>y: 4.12<br>z: 1","1.0"
"-0.07417213372560849","0.22827938330686504","x: -0.07<br>y: 0.23<br>z: 3","3.0"
"-0.07417213372560849","0.660865931016522","x: -0.07<br>y: 0.66<br>z: 3","3.0"
"-0.07417213372560849","1.5260390264358363","x: -0.07<br>y: 1.53<br>z: 4","4.0"
"-0.07417213372560849","1.9586255741454937","x: -0.07<br>y: 1.96<br>z: 22","22.0"
"-0.07417213372560849","2.3912121218551508","x: -0.07<br>y: 2.39<br>z: 33","33.0"
"-0.07417213372560849","2.8237986695648085","x: -0.07<br>y: 2.82<br>z: 44","44.0"
"-0.07417213372560849","3.256385217274465","x: -0.07<br>y: 3.26<br>z: 20","20.0"
"-0.07417213372560849","3.6889717649841227","x: -0.07<br>y: 3.69<br>z: 8","8.0"
"0.07400497207883516","0.22827938330686504","x: 0.07<br>y: 0.23<br>z: 23","23.0"
"0.07400497207883516","0.660865931016522","x: 0.07<br>y: 0.66<br>z: 28","28.0"
"0.07400497207883516","1.0934524787261795","x: 0.07<br>y: 1.09<br>z: 7","7.0"
"0.07400497207883516","1.5260390264358363","x: 0.07<br>y: 1.53<br>z: 17","17.0"
"0.07400497207883516","1.9586255741454937","x: 0.07<br>y: 1.96<br>z: 34","34.0"
"0.07400497207883516","2.3912121218551508","x: 0.07<br>y: 2.39<br>z: 56","56.0"
"0.07400497207883516","2.8237986695648085","x: 0.07<br>y: 2.82<br>z: 29","29.0"
"0.07400497207883516","3.256385217274465","x: 0.07<br>y: 3.26<br>z: 22","22.0"
"0.07400497207883516","3.6889717649841227","x: 0.07<br>y: 3.69<br>z: 6","6.0"
"0.07400497207883516","4.12155831269378","x: 0.07<br>y: 4.12<br>z: 2","2.0"
"0.22218207788327882","-0.20430716440279206","x: 0.22<br>y: -0.20<br>z: 3","3.0"
"0.22218207788327882","0.22827938330686504","x: 0.22<br>y: 0.23<br>z: 80","80.0"
"0.22218207788327882","0.660865931016522","x: 0.22<br>y: 0.66<br>z: 107","107.0"
"0.22218207788327882","1.0934524787261795","x: 0.22<br>y: 1.09<br>z: 15","15.0"
"0.22218207788327882","1.5260390264358363","x: 0.22<br>y: 1.53<br>z: 38","38.0"
"0.22218207788327882","1.9586255741454937","x: 0.22<br>y: 1.96<br>z: 57","57.0"
"0.22218207788327882","2.3912121218551508","x: 0.22<br>y: 2.39<br>z: 76","76.0"
"0.22218207788327882","2.8237986695648085","x: 0.22<br>y: 2.82<br>z: 52","52.0"
"0.22218207788327882","3.256385217274465","x: 0.22<br>y: 3.26<br>z: 26","26.0"
"0.22218207788327882","3.6889717649841227","x: 0.22<br>y: 3.69<br>z: 3","3.0"
"0.22218207788327882","4.12155831269378","x: 0.22<br>y: 4.12<br>z: 2","2.0"
"0.37035918368772264","-0.20430716440279206","x: 0.37<br>y: -0.20<br>z: 7","7.0"
"0.37035918368772264","0.22827938330686504","x: 0.37<br>y: 0.23<br>z: 141","141.0"
"0.37035918368772264","0.660865931016522","x: 0.37<br>y: 0.66<br>z: 220","220.0"
"0.37035918368772264","1.0934524787261795","x: 0.37<br>y: 1.09<br>z: 43","43.0"
"0.37035918368772264","1.5260390264358363","x: 0.37<br>y: 1.53<br>z: 54","54.0"
"0.37035918368772264","1.9586255741454937","x: 0.37<br>y: 1.96<br>z: 87","87.0"
"0.37035918368772264","2.3912121218551508","x: 0.37<br>y: 2.39<br>z: 83","83.0"
"0.37035918368772264","2.8237986695648085","x: 0.37<br>y: 2.82<br>z: 37","37.0"
"0.37035918368772264","3.256385217274465","x: 0.37<br>y: 3.26<br>z: 11","11.0"
"0.37035918368772264","3.6889717649841227","x: 0.37<br>y: 3.69<br>z: 4","4.0"
"0.5185362894921663","-0.20430716440279206","x: 0.52<br>y: -0.20<br>z: 7","7.0"
"0.5185362894921663","0.22827938330686504","x: 0.52<br>y: 0.23<br>z: 197","197.0"
"0.5185362894921663","0.660865931016522","x: 0.52<br>y: 0.66<br>z: 312","312.0"
"0.5185362894921663","1.0934524787261795","x: 0.52<br>y: 1.09<br>z: 54","54.0"
"0.5185362894921663","1.5260390264358363","x: 0.52<br>y: 1.53<br>z: 73","73.0"
"0.5185362894921663","1.9586255741454937","x: 0.52<br>y: 1.96<br>z: 84","84.0"
"0.5185362894921663","2.3912121218551508","x: 0.52<br>y: 2.39<br>z: 87","87.0"
"0.5185362894921663","2.8237986695648085","x: 0.52<br>y: 2.82<br>z: 44","44.0"
"0.5185362894921663","3.256385217274465","x: 0.52<br>y: 3.26<br>z: 11","11.0"
"0.5185362894921663","3.6889717649841227","x: 0.52<br>y: 3.69<br>z: 1","1.0"
"0.6667133952966101","-0.20430716440279206","x: 0.67<br>y: -0.20<br>z: 7","7.0"
"0.6667133952966101","0.22827938330686504","x: 0.67<br>y: 0.23<br>z: 146","146.0"
"0.6667133952966101","0.660865931016522","x: 0.67<br>y: 0.66<br>z: 214","214.0"
"0.6667133952966101","1.0934524787261795","x: 0.67<br>y: 1.09<br>z: 73","73.0"
"0.6667133952966101","1.5260390264358363","x: 0.67<br>y: 1.53<br>z: 80","80.0"
"0.6667133952966101","1.9586255741454937","x: 0.67<br>y: 1.96<br>z: 95","95.0"
"0.6667133952966101","2.3912121218551508","x: 0.67<br>y: 2.39<br>z: 77","77.0"
"0.6667133952966101","2.8237986695648085","x: 0.67<br>y: 2.82<br>z: 33","33.0"
"0.6667133952966101","3.256385217274465","x: 0.67<br>y: 3.26<br>z: 2","2.0"
"0.6667133952966101","3.6889717649841227","x: 0.67<br>y: 3.69<br>z: 2","2.0"
"0.814890501101054","-0.20430716440279206","x: 0.81<br>y: -0.20<br>z: 3","3.0"
"0.814890501101054","0.22827938330686504","x: 0.81<br>y: 0.23<br>z: 50","50.0"
"0.814890501101054","0.660865931016522","x: 0.81<br>y: 0.66<br>z: 109","109.0"
"0.814890501101054","1.0934524787261795","x: 0.81<br>y: 1.09<br>z: 86","86.0"
"0.814890501101054","1.5260390264358363","x: 0.81<br>y: 1.53<br>z: 107","107.0"
"0.814890501101054","1.9586255741454937","x: 0.81<br>y: 1.96<br>z: 94","94.0"
"0.814890501101054","2.3912121218551508","x: 0.81<br>y: 2.39<br>z: 55","55.0"
"0.814890501101054","2.8237986695648085","x: 0.81<br>y: 2.82<br>z: 12","12.0"
"0.814890501101054","3.256385217274465","x: 0.81<br>y: 3.26<br>z: 6","6.0"
"0.9630676069054979","-0.20430716440279206","x: 0.96<br>y: -0.20<br>z: 2","2.0"
"0.9630676069054979","0.22827938330686504","x: 0.96<br>y: 0.23<br>z: 19","19.0"
"0.9630676069054979","0.660865931016522","x: 0.96<br>y: 0.66<br>z: 61","61.0"
"0.9630676069054979","1.0934524787261795","x: 0.96<br>y: 1.09<br>z: 87","87.0"
"0.9630676069054979","1.5260390264358363","x: 0.96<br>y: 1.53<br>z: 85","85.0"
"0.9630676069054979","1.9586255741454937","x: 0.96<br>y: 1.96<br>z: 77","77.0"
"0.9630676069054979","2.3912121218551508","x: 0.96<br>y: 2.39<br>z: 28","28.0"
"0.9630676069054979","2.8237986695648085","x: 0.96<br>y: 2.82<br>z: 7","7.0"
"0.9630676069054979","3.256385217274465","x: 0.96<br>y: 3.26<br>z: 1","1.0"
"1.1112447127099412","-0.20430716440279206","x: 1.11<br>y: -0.20<br>z: 2","2.0"
"1.1112447127099412","0.22827938330686504","x: 1.11<br>y: 0.23<br>z: 10","10.0"
"1.1112447127099412","0.660865931016522","x: 1.11<br>y: 0.66<br>z: 34","34.0"
"1.1112447127099412","1.0934524787261795","x: 1.11<br>y: 1.09<br>z: 81","81.0"
"1.1112447127099412","1.5260390264358363","x: 1.11<br>y: 1.53<br>z: 76","76.0"
"1.1112447127099412","1.9586255741454937","x: 1.11<br>y: 1.96<br>z: 44","44.0"
"1.1112447127099412","2.3912121218551508","x: 1.11<br>y: 2.39<br>z: 22","22.0"
"1.1112447127099412","2.8237986695648085","x: 1.11<br>y: 2.82<br>z: 4","4.0"
"1.1112447127099412","3.256385217274465","x: 1.11<br>y: 3.26<br>z: 1","1.0"
"1.259421818514385","-0.20430716440279206","x: 1.26<br>y: -0.20<br>z: 3","3.0"
"1.259421818514385","0.22827938330686504","x: 1.26<br>y: 0.23<br>z: 16","16.0"
"1.259421818514385","0.660865931016522","x: 1.26<br>y: 0.66<br>z: 43","43.0"
"1.259421818514385","1.0934524787261795","x: 1.26<br>y: 1.09<br>z: 52","52.0"
"1.259421818514385","1.5260390264358363","x: 1.26<br>y: 1.53<br>z: 45","45.0"
"1.259421818514385","1.9586255741454937","x: 1.26<br>y: 1.96<br>z: 30","30.0"
"1.259421818514385","2.3912121218551508","x: 1.26<br>y: 2.39<br>z: 9","9.0"
"1.259421818514385","2.8237986695648085","x: 1.26<br>y: 2.82<br>z: 2","2.0"
"1.407598924318829","-0.20430716440279206","x: 1.41<br>y: -0.20<br>z: 2","2.0"
"1.407598924318829","0.22827938330686504","x: 1.41<br>y: 0.23<br>z: 15","15.0"
"1.407598924318829","0.660865931016522","x: 1.41<br>y: 0.66<br>z: 28","28.0"
"1.407598924318829","1.0934524787261795","x: 1.41<br>y: 1.09<br>z: 42","42.0"
"1.407598924318829","1.5260390264358363","x: 1.41<br>y: 1.53<br>z: 33","33.0"
"1.407598924318829","1.9586255741454937","x: 1.41<br>y: 1.96<br>z: 12","12.0"
"1.407598924318829","2.3912121218551508","x: 1.41<br>y: 2.39<br>z: 3","3.0"
"1.5557760301232724","-0.6368937121124493","x: 1.56<br>y: -0.64<br>z: 2","2.0"
"1.5557760301232724","-0.20430716440279206","x: 1.56<br>y: -0.20<br>z: 6","6.0"
"1.5557760301232724","0.22827938330686504","x: 1.56<br>y: 0.23<br>z: 9","9.0"
"1.5557760301232724","0.660865931016522","x: 1.56<br>y: 0.66<br>z: 28","28.0"
"1.5557760301232724","1.0934524787261795","x: 1.56<br>y: 1.09<br>z: 20","20.0"
"1.5557760301232724","1.5260390264358363","x: 1.56<br>y: 1.53<br>z: 9","9.0"
"1.5557760301232724","1.9586255741454937","x: 1.56<br>y: 1.96<br>z: 8","8.0"
"1.5557760301232724","2.3912121218551508","x: 1.56<br>y: 2.39<br>z: 2","2.0"
"1.7039531359277162","-1.0694802598221065","x: 1.70<br>y: -1.07<br>z: 1","1.0"
"1.7039531359277162","-0.6368937121124493","x: 1.70<br>y: -0.64<br>z: 2","2.0"
"1.7039531359277162","-0.20430716440279206","x: 1.70<br>y: -0.20<br>z: 7","7.0"
"1.7039531359277162","0.22827938330686504","x: 1.70<br>y: 0.23<br>z: 9","9.0"
"1.7039531359277162","0.660865931016522","x: 1.70<br>y: 0.66<br>z: 12","12.0"
"1.7039531359277162","1.0934524787261795","x: 1.70<br>y: 1.09<br>z: 15","15.0"
"1.7039531359277162","1.5260390264358363","x: 1.70<br>y: 1.53<br>z: 8","8.0"
"1.7039531359277162","1.9586255741454937","x: 1.70<br>y: 1.96<br>z: 1","1.0"
"1.8521302417321601","-0.6368937121124493","x: 1.85<br>y: -0.64<br>z: 1","1.0"
"1.8521302417321601","-0.20430716440279206","x: 1.85<br>y: -0.20<br>z: 8","8.0"
"1.8521302417321601","0.22827938330686504","x: 1.85<br>y: 0.23<br>z: 6","6.0"
"1.8521302417321601","0.660865931016522","x: 1.85<br>y: 0.66<br>z: 9","9.0"
"1.8521302417321601","1.0934524787261795","x: 1.85<br>y: 1.09<br>z: 5","5.0"
"1.8521302417321601","1.9586255741454937","x: 1.85<br>y: 1.96<br>z: 2","2.0"
"1.8521302417321601","2.8237986695648085","x: 1.85<br>y: 2.82<br>z: 1","1.0"
"2.0003073475366033","-1.5020668075317634","x: 2.00<br>y: -1.50<br>z: 1","1.0"
"2.0003073475366033","-0.6368937121124493","x: 2.00<br>y: -0.64<br>z: 3","3.0"
"2.0003073475366033","-0.20430716440279206","x: 2.00<br>y: -0.20<br>z: 1","1.0"
"2.0003073475366033","0.22827938330686504","x: 2.00<br>y: 0.23<br>z: 4","4.0"
"2.0003073475366033","0.660865931016522","x: 2.00<br>y: 0.66<br>z: 4","4.0"
"2.0003073475366033","1.0934524787261795","x: 2.00<br>y: 1.09<br>z: 1","1.0"
"2.1484844533410468","-0.6368937121124493","x: 2.15<br>y: -0.64<br>z: 1","1.0"
"2.1484844533410468","-0.20430716440279206","x: 2.15<br>y: -0.20<br>z: 1","1.0"
"2.1484844533410468","0.660865931016522","x: 2.15<br>y: 0.66<br>z: 1","1.0"
"2.1484844533410468","1.0934524787261795","x: 2.15<br>y: 1.09<br>z: 1","1.0"
"2.296661559145491","-0.20430716440279206","x: 2.30<br>y: -0.20<br>z: 2","2.0"
"2.296661559145491","0.22827938330686504","x: 2.30<br>y: 0.23<br>z: 1","1.0"
"2.296661559145491","0.660865931016522","x: 2.30<br>y: 0.66<br>z: 2","2.0"
"2.296661559145491","1.5260390264358363","x: 2.30<br>y: 1.53<br>z: 1","1.0"
